       version             X             Z     num logTs      logT min      logT max      del logT     num logQs      logQ min      logQ max      del logQ
            51        0.0000        1.0000       102            2.1000        8.1600        0.0600       175          -10.0000        5.6600        0.0900

       logQ = logRho - 2*logT + 12
      -10.000000

 logT logPgas   lpp_H  lpp_He   lpp_C   lpp_N   lpp_O  lpp_Ne  lpp_Mg  lpp_Si  lpp_Fe     Z_H    Z_He     Z_C     Z_N     Z_O    Z_Ne    Z_Mg    Z_Si    Z_Fe     f_H    f_He     f_C     f_N     f_O    f_Ne    f_Mg    f_Si    f_Fe
 3.96  -1.360 -50.523 -51.126  -1.907  -4.944  -2.029  -4.830  -5.272  -5.115  -5.379   1.000   0.012   1.001   1.000   1.000   1.788   1.998   1.974   1.996   0.000   0.988   0.000   0.000   0.000   0.065   0.000   0.000   0.000
 4.02  -1.120 -50.290 -50.892  -1.673  -4.711  -1.796  -4.597  -5.039  -4.881  -5.146   1.000   0.362   1.056   1.001   1.000   2.558   2.000   1.998   2.000   0.000   0.638   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.08  -0.880 -50.110 -50.712  -1.493  -4.531  -1.615  -4.417  -4.859  -4.701  -4.966   1.000   0.933   1.584   1.035   1.001   2.961   2.000   2.002   2.005   0.000   0.067   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.14  -0.640 -49.911 -50.513  -1.294  -4.331  -1.416  -4.217  -4.659  -4.502  -4.767   1.000   0.996   1.957   1.526   1.035   3.421   2.000   2.112   2.142   0.000   0.004   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.20  -0.400 -49.711 -50.313  -1.094  -4.131  -1.216  -4.018  -4.459  -4.302  -4.567   1.000   1.000   1.996   1.955   1.557   5.496   2.000   2.786   2.779   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.26  -0.160 -49.498 -50.100  -0.881  -3.919  -1.003  -3.805  -4.247  -4.089  -4.354   1.000   1.000   2.006   1.997   1.965   6.186   2.000   2.996   2.981   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.32   0.080 -49.278 -49.880  -0.661  -3.698  -0.783  -3.585  -4.026  -3.869  -4.134   1.000   1.002   2.224   2.029   1.999   7.970   2.000   3.248   3.011   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.38   0.320 -49.090 -49.692  -0.473  -3.511  -0.595  -3.397  -3.839  -3.681  -3.946   1.000   1.068   2.874   2.415   2.070   8.000   2.000   3.867   3.336   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.44   0.560 -48.889 -49.491  -0.272  -3.309  -0.394  -3.196  -3.637  -3.480  -3.745   1.000   1.632   3.015   2.916   2.648   8.000   2.000   3.988   3.925   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.50   0.800 -48.687 -49.289  -0.070  -3.107  -0.192  -2.993  -3.435  -3.278  -3.543   1.000   1.963   3.393   3.013   2.968   8.000   2.024   3.999   4.024   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.56   1.040 -48.480 -49.082   0.137  -2.900   0.015  -2.787  -3.228  -3.071  -3.336   1.000   1.996   3.916   3.407   3.052   8.000   2.468   4.000   4.459   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.62   1.280 -48.263 -48.865   0.354  -2.684   0.232  -2.570  -3.012  -2.854  -3.119   1.000   2.000   3.992   3.942   3.534   8.000   2.952   4.000   4.950   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.68   1.520 -48.040 -48.642   0.577  -2.460   0.455  -2.347  -2.788  -2.631  -2.896   1.000   2.000   3.999   4.231   3.962   8.000   3.052   4.000   5.255   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.74   1.760 -47.816 -48.419   0.800  -2.237   0.678  -2.123  -2.565  -2.408  -2.672   1.000   2.000   4.000   4.842   4.416   8.000   3.590   4.000   5.878   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.80   2.000 -47.596 -48.198   1.021  -2.016   0.899  -1.903  -2.344  -2.187  -2.452   1.000   2.000   4.000   4.984   4.965   8.000   3.976   4.002   6.276   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.86   2.240 -47.372 -47.974   1.245  -1.793   1.123  -1.679  -2.121  -1.963  -2.228   1.000   2.000   4.000   4.998   5.443   8.000   4.300   4.090   6.883   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.92   2.480 -47.148 -47.750   1.469  -1.568   1.347  -1.454  -1.896  -1.739  -2.003   1.000   2.000   4.000   5.000   5.919   8.000   4.923   4.717   7.259   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.98   2.720 -46.910 -47.512   1.707  -1.330   1.585  -1.217  -1.658  -1.501  -1.766   1.000   2.000   4.000   5.000   5.991   8.000   5.576   5.063   7.833   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 5.04   2.960 -46.670 -47.272   1.947  -1.091   1.825  -0.977  -1.419  -1.261  -1.526   1.000   2.000   4.000   5.000   5.999   8.000   6.052   5.664   8.258   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 5.10   3.200 -46.430 -47.032   2.187  -0.851   2.065  -0.737  -1.179  -1.021  -1.286   1.000   2.000   4.000   5.000   6.000   8.000   6.659   6.111   9.005   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 5.16   3.440 -46.190 -46.792   2.427  -0.611   2.304  -0.497  -0.939  -0.781  -1.046   1.000   2.000   4.000   5.000   6.000   8.000   7.134   6.837   9.781   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 5.22   3.680 -45.950 -46.553   2.666  -0.371   2.544  -0.257  -0.699  -0.542  -0.806   1.000   2.000   4.005   5.000   6.000   8.000   8.019   7.727  10.800   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 5.28   3.920 -45.715 -46.317   2.902  -0.136   2.780  -0.022  -0.464  -0.306  -0.571   1.000   2.000   4.115   5.000   6.000   8.000   8.982   8.321  12.073   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 5.34   4.160 -45.499 -46.101   3.118   0.081   2.996   0.194  -0.247  -0.090  -0.355   1.000   2.000   4.698   5.000   6.000   8.000   9.669   8.977  12.970   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 5.40   4.400 -45.272 -45.874   3.345   0.308   3.223   0.421  -0.020   0.137  -0.128   1.000   2.000   5.033   5.016   6.000   8.000   9.954   9.938  14.371   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 5.46   4.640 -45.050 -45.652   3.567   0.529   3.445   0.643   0.201   0.359   0.094   1.000   2.000   5.520   5.266   6.000   8.030   9.993  11.093  15.484   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 5.52   4.880 -44.825 -45.427   3.792   0.755   3.670   0.868   0.427   0.584   0.319   1.000   2.000   5.918   5.859   6.007   9.543   9.999  11.772  15.919   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 5.58   5.120 -44.591 -45.193   4.026   0.988   3.904   1.102   0.660   0.818   0.553   1.000   2.000   5.988   6.256   6.143   9.994  10.000  11.968  15.988   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 5.64   5.360 -44.366 -44.968   4.250   1.213   4.128   1.327   0.885   1.042   0.778   1.000   2.000   5.998   6.807   6.729  10.000  10.000  11.995  15.998   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 5.70   5.600 -44.138 -44.740   4.479   1.441   4.357   1.555   1.113   1.271   1.006   1.000   2.000   6.000   6.971   7.192  10.000  10.000  11.999  16.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 5.76   5.840 -43.912 -44.514   4.705   1.667   4.583   1.781   1.339   1.497   1.232   1.000   2.000   6.000   6.995   7.762  10.000  10.000  12.000  16.014   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 5.82   6.080 -43.677 -44.279   4.940   1.903   4.818   2.016   1.574   1.732   1.467   1.000   2.000   6.000   6.999   7.962  10.000  10.000  12.000  16.247   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 5.88   6.320 -43.438 -44.040   5.179   2.142   5.057   2.256   1.814   1.971   1.706   1.000   2.000   6.000   7.000   7.993  10.000  10.001  12.000  17.021   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 5.94   6.560 -43.198 -43.800   5.419   2.382   5.297   2.495   2.054   2.211   1.946   1.000   2.000   6.000   7.000   7.999  10.000  10.019  12.000  17.976   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 6.00   6.800 -42.958 -43.560   5.659   2.622   5.537   2.735   2.294   2.451   2.186   1.000   2.000   6.000   7.000   8.000  10.000  10.245  12.000  19.779   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 6.06   7.040 -42.718 -43.320   5.899   2.862   5.777   2.975   2.534   2.691   2.426   1.000   2.000   6.000   7.000   8.000  10.000  10.888  12.004  21.003   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 6.12   7.280 -42.478 -43.080   6.139   3.102   6.017   3.215   2.773   2.931   2.666   1.000   2.000   6.000   7.000   8.000  10.000  11.533  12.072  23.092   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 6.18   7.520 -42.238 -42.840   6.379   3.342   6.257   3.455   3.013   3.171   2.906   1.000   2.000   6.000   7.000   8.000  10.000  11.903  12.528  23.825   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 6.24   7.760 -41.998 -42.600   6.619   3.582   6.497   3.695   3.253   3.411   3.146   1.000   2.000   6.000   7.000   8.000  10.000  11.982  13.226  23.968   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 6.30   8.000 -41.758 -42.360   6.859   3.822   6.737   3.935   3.493   3.651   3.386   1.000   2.000   6.000   7.000   8.000  10.000  11.996  13.786  23.993   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 6.36   8.240 -41.518 -42.120   7.099   4.061   6.977   4.175   3.733   3.891   3.626   1.000   2.000   6.000   7.000   8.000  10.000  11.999  13.958  23.998   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 6.42   8.480 -41.278 -41.880   7.339   4.301   7.217   4.415   3.973   4.131   3.866   1.000   2.000   6.000   7.000   8.000  10.000  12.000  13.991  23.999   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 6.48   8.720 -41.038 -41.640   7.579   4.542   7.457   4.655   4.213   4.371   4.106   1.000   2.000   6.000   7.000   8.000  10.000  12.000  13.998  24.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 6.54   8.960 -40.798 -41.400   7.819   4.782   7.697   4.895   4.453   4.611   4.346   1.000   2.000   6.000   7.000   8.000  10.000  12.000  13.999  24.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 6.60   9.200 -40.558 -41.160   8.059   5.021   7.937   5.135   4.693   4.851   4.586   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  24.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 6.66   9.440 -40.318 -40.920   8.299   5.261   8.177   5.375   4.933   5.091   4.826   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  24.005   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 6.72   9.680 -40.078 -40.680   8.539   5.502   8.417   5.615   5.173   5.331   5.066   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  24.064   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 6.78   9.920 -39.838 -40.440   8.779   5.742   8.657   5.855   5.413   5.571   5.306   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  24.448   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 6.84  10.160 -39.598 -40.200   9.019   5.981   8.897   6.095   5.653   5.811   5.546   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  25.212   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 6.90  10.400 -39.358 -39.960   9.259   6.221   9.137   6.335   5.893   6.051   5.786   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  25.764   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 6.96  10.640 -39.118 -39.720   9.499   6.461   9.377   6.575   6.133   6.291   6.026   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  25.942   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 7.02  10.880 -38.878 -39.480   9.739   6.701   9.617   6.815   6.373   6.531   6.266   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  25.984   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 7.08  11.120 -38.638 -39.240   9.979   6.941   9.857   7.055   6.613   6.771   6.506   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  25.995   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 7.14  11.360 -38.398 -39.000  10.219   7.181  10.097   7.295   6.853   7.011   6.746   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  25.998   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 7.20  11.600 -38.158 -38.760  10.459   7.421  10.337   7.535   7.093   7.251   6.986   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  25.999   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 7.26  11.840 -37.918 -38.520  10.699   7.661  10.577   7.775   7.333   7.491   7.226   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  26.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 7.32  12.080 -37.678 -38.280  10.939   7.901  10.817   8.015   7.573   7.731   7.466   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  26.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 7.38  12.320 -37.438 -38.040  11.179   8.141  11.057   8.255   7.813   7.971   7.706   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  26.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 7.44  12.560 -37.198 -37.800  11.419   8.381  11.297   8.495   8.053   8.211   7.946   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  26.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 7.50  12.800 -36.958 -37.560  11.659   8.621  11.537   8.735   8.293   8.451   8.186   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  26.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 7.56  13.040 -36.718 -37.320  11.899   8.861  11.777   8.975   8.533   8.691   8.426   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  26.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 7.62  13.280 -36.478 -37.080  12.139   9.101  12.017   9.215   8.773   8.931   8.666   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  26.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 7.68  13.520 -36.238 -36.840  12.379   9.341  12.257   9.455   9.013   9.171   8.906   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  26.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 7.74  13.760 -35.998 -36.600  12.619   9.581  12.497   9.695   9.253   9.411   9.146   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  26.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 7.80  14.000 -35.758 -36.360  12.859   9.821  12.737   9.935   9.493   9.651   9.386   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  26.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 7.86  14.240 -35.518 -36.120  13.099  10.062  12.977  10.175   9.733   9.891   9.626   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  26.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 7.92  14.480 -35.278 -35.880  13.339  10.302  13.217  10.415   9.973  10.131   9.866   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  26.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 7.98  14.720 -35.038 -35.640  13.579  10.541  13.457  10.655  10.213  10.371  10.106   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  26.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 8.04  14.960 -34.798 -35.400  13.819  10.781  13.697  10.895  10.453  10.611  10.346   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  26.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 8.10  15.200 -34.558 -35.160  14.059  11.021  13.937  11.135  10.693  10.851  10.586   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  26.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 8.16  15.440 -34.318 -34.920  14.299  11.261  14.177  11.375  10.933  11.091  10.826   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  26.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 

       logQ = logRho - 2*logT + 12
       -8.740000

 logT logPgas   lpp_H  lpp_He   lpp_C   lpp_N   lpp_O  lpp_Ne  lpp_Mg  lpp_Si  lpp_Fe     Z_H    Z_He     Z_C     Z_N     Z_O    Z_Ne    Z_Mg    Z_Si    Z_Fe     f_H    f_He     f_C     f_N     f_O    f_Ne    f_Mg    f_Si    f_Fe
 2.10  -7.658 -56.520 -57.122  -7.903 -10.941  -8.025 -10.827 -11.269 -11.111 -11.376   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.16  -7.478 -56.340 -56.942  -7.723 -10.761  -7.845 -10.647 -11.089 -10.931 -11.196   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.22  -7.298 -56.160 -56.762  -7.543 -10.581  -7.665 -10.467 -10.909 -10.751 -11.016   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.28  -7.118 -55.980 -56.582  -7.363 -10.401  -7.485 -10.287 -10.729 -10.571 -10.836   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.34  -6.938 -55.800 -56.402  -7.183 -10.221  -7.305 -10.107 -10.549 -10.391 -10.656   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.40  -6.758 -55.620 -56.222  -7.003 -10.041  -7.125  -9.927 -10.369 -10.211 -10.476   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.46  -6.578 -55.440 -56.042  -6.823  -9.861  -6.945  -9.747 -10.189 -10.031 -10.296   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.52  -6.398 -55.260 -55.862  -6.643  -9.681  -6.765  -9.567 -10.009  -9.851 -10.116   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.58  -6.218 -55.080 -55.682  -6.463  -9.501  -6.585  -9.387  -9.829  -9.671  -9.936   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.64  -6.038 -54.900 -55.502  -6.283  -9.321  -6.405  -9.207  -9.649  -9.491  -9.756   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.70  -5.858 -54.720 -55.322  -6.103  -9.141  -6.225  -9.027  -9.469  -9.311  -9.576   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.76  -5.678 -54.540 -55.142  -5.923  -8.961  -6.045  -8.847  -9.289  -9.131  -9.396   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.82  -5.498 -54.360 -54.962  -5.743  -8.781  -5.865  -8.667  -9.109  -8.951  -9.216   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.88  -5.318 -54.180 -54.782  -5.563  -8.601  -5.685  -8.487  -8.929  -8.771  -9.036   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.94  -5.138 -54.000 -54.602  -5.383  -8.421  -5.505  -8.307  -8.749  -8.591  -8.856   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 3.00  -4.958 -53.820 -54.422  -5.203  -8.241  -5.325  -8.127  -8.569  -8.411  -8.676   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 3.06  -4.778 -53.640 -54.242  -5.023  -8.061  -5.145  -7.947  -8.389  -8.231  -8.496   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 3.12  -4.598 -53.460 -54.062  -4.843  -7.881  -4.965  -7.767  -8.209  -8.051  -8.316   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 3.18  -4.418 -53.280 -53.882  -4.663  -7.701  -4.785  -7.587  -8.029  -7.871  -8.136   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 3.24  -4.238 -53.100 -53.702  -4.483  -7.521  -4.605  -7.407  -7.849  -7.691  -7.956   0.000   0.000   0.000   0.000   0.000   0.000   0.001   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   0.999   1.000   1.000
 3.30  -4.000 -52.862 -53.464  -4.245  -7.283  -4.367  -7.169  -7.611  -7.453  -7.718   0.000   0.000   0.000   0.000   0.000   0.000   0.020   0.000   0.003   1.000   1.000   1.000   1.000   1.000   1.000   0.980   1.000   0.997
 3.36  -3.760 -52.622 -53.224  -4.005  -7.043  -4.127  -6.929  -7.371  -7.213  -7.478   0.000   0.000   0.000   0.000   0.000   0.000   0.267   0.009   0.056   1.000   1.000   1.000   1.000   1.000   1.000   0.733   0.991   0.944
 3.42  -3.520 -52.382 -52.984  -3.765  -6.803  -3.887  -6.689  -7.131  -6.973  -7.238   0.000   0.000   0.000   0.000   0.000   0.000   0.893   0.230   0.618   1.000   1.000   1.000   1.000   1.000   1.000   0.107   0.770   0.382
 3.48  -3.280 -52.142 -52.744  -3.525  -6.563  -3.648  -6.449  -6.891  -6.733  -6.998   0.000   0.000   0.000   0.000   0.000   0.000   0.996   0.929   0.984   1.000   1.000   1.000   1.000   1.000   1.000   0.004   0.071   0.016
 3.54  -3.040 -51.903 -52.505  -3.287  -6.324  -3.409  -6.210  -6.652  -6.495  -6.759   0.000   0.000   0.004   0.000   0.000   0.000   1.000   0.993   0.998   1.000   1.000   0.996   1.000   1.000   1.000   0.000   0.007   0.002
 3.60  -2.800 -51.675 -52.277  -3.058  -6.095  -3.180  -5.982  -6.423  -6.266  -6.531   0.000   0.000   0.051   0.000   0.000   0.000   1.000   0.998   0.999   1.000   1.000   0.949   1.000   1.000   1.000   0.000   0.002   0.001
 3.66  -2.560 -51.501 -52.103  -2.884  -5.921  -3.006  -5.807  -6.249  -6.092  -6.356   0.001   0.000   0.346   0.000   0.001   0.000   1.000   0.999   1.000   0.999   1.000   0.654   1.000   0.999   1.000   0.000   0.001   0.000
 3.72  -2.320 -51.364 -51.966  -2.747  -5.785  -2.869  -5.671  -6.113  -5.955  -6.220   0.034   0.000   0.893   0.020   0.029   0.000   1.001   1.000   1.000   0.966   1.000   0.107   0.980   0.971   1.000   0.000   0.000   0.000
 3.78  -2.080 -51.191 -51.793  -2.574  -5.611  -2.696  -5.498  -5.939  -5.782  -6.047   0.523   0.000   0.992   0.448   0.484   0.000   1.064   1.002   1.012   0.477   1.000   0.008   0.552   0.516   1.000   0.000   0.000   0.000
 3.84  -1.840 -50.998 -51.600  -2.381  -5.419  -2.504  -5.305  -5.747  -5.589  -5.854   0.958   0.000   0.999   0.956   0.952   0.000   1.674   1.071   1.326   0.042   1.000   0.001   0.044   0.048   1.000   0.000   0.000   0.000
 3.90  -1.600 -50.763 -51.365  -2.146  -5.183  -2.268  -5.070  -5.511  -5.354  -5.619   0.997   0.000   1.000   0.998   0.997   0.051   1.977   1.679   1.929   0.003   1.000   0.000   0.002   0.003   0.957   0.000   0.000   0.000
 3.96  -1.360 -50.523 -51.126  -1.907  -4.944  -2.029  -4.830  -5.272  -5.115  -5.379   1.000   0.012   1.001   1.000   1.000   1.788   1.998   1.974   1.996   0.000   0.988   0.000   0.000   0.000   0.065   0.000   0.000   0.000
 4.02  -1.120 -50.290 -50.892  -1.673  -4.711  -1.796  -4.597  -5.039  -4.881  -5.146   1.000   0.362   1.056   1.001   1.000   2.558   2.000   1.998   2.000   0.000   0.638   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.08  -0.880 -50.110 -50.712  -1.493  -4.531  -1.615  -4.417  -4.859  -4.701  -4.966   1.000   0.933   1.584   1.035   1.001   2.961   2.000   2.002   2.005   0.000   0.067   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.14  -0.640 -49.911 -50.513  -1.294  -4.331  -1.416  -4.217  -4.659  -4.502  -4.767   1.000   0.996   1.957   1.526   1.035   3.421   2.000   2.112   2.142   0.000   0.004   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.20  -0.400 -49.711 -50.313  -1.094  -4.131  -1.216  -4.018  -4.459  -4.302  -4.567   1.000   1.000   1.996   1.955   1.557   5.496   2.000   2.786   2.779   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.26  -0.160 -49.498 -50.100  -0.881  -3.919  -1.003  -3.805  -4.247  -4.089  -4.354   1.000   1.000   2.006   1.997   1.965   6.186   2.000   2.996   2.981   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.32   0.080 -49.278 -49.880  -0.661  -3.698  -0.783  -3.585  -4.026  -3.869  -4.134   1.000   1.002   2.224   2.029   1.999   7.970   2.000   3.248   3.011   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
